dataset,material,angle_deg,kind,window,min_spacing_cm,region_min_cm,region_max_cm,n_extrema,interval_mean_um,interval_std_um,interval_count,fod_d_um,fod_r2,fod_rss
SiC_15deg,SiC,15.0,peak,61,280.0,1500.0,3500.0,5,4.607751715409297,1.2139373025889204,4,4.302491880973168,0.9910185679347594,0.08981432065240606
SiC_15deg,SiC,15.0,trough,61,280.0,1500.0,3500.0,4,3.8275676570502983,0.0975267590970624,3,3.8015493007199352,0.9998117767091964,0.0009411164540176827
SiC_15deg,SiC,15.0,peak,61,280.0,1700.0,3000.0,4,5.249136280756294,1.1032157070588915,3,4.923662248694952,0.9890746208997204,0.05462689550139815
SiC_15deg,SiC,15.0,trough,61,280.0,1700.0,3000.0,3,3.857548313794074,0.10756711288121656,2,3.832699796252922,0.9996924524986954,0.0006150950026091454
SiC_15deg,SiC,15.0,peak,101,200.0,1000.0,4000.0,12,7.707508898379984,0.8029002627569098,11,7.668702420353444,0.9995975053979236,0.05755672809693104
SiC_15deg,SiC,15.0,trough,101,200.0,1000.0,4000.0,11,7.262975700072557,0.9837445000652961,10,7.286553295702132,0.9960569598450842,0.4337344170407344
SiC_15deg,SiC,15.0,peak,101,200.0,1200.0,4000.0,11,7.858671176299865,0.6765821001204743,10,7.683892117695505,0.9995332325595028,0.051344418454693924
SiC_15deg,SiC,15.0,trough,101,200.0,1200.0,4000.0,10,7.248173966219609,1.0359007993492844,9,7.372263405232483,0.9964278473276797,0.29470259546642114
SiC_15deg,SiC,15.0,peak,101,200.0,1500.0,3500.0,8,7.7159972677099224,0.5236910019944595,7,7.629049006581751,0.9996870522951978,0.013143803601689513
SiC_15deg,SiC,15.0,trough,101,200.0,1500.0,3500.0,7,7.653644873724002,0.21499311505153212,6,7.579866082800965,0.999811958779394,0.005265154176967387
SiC_15deg,SiC,15.0,peak,101,200.0,1700.0,3000.0,5,7.709621139813054,0.646292252113798,4,7.6628004325277805,0.9989948608845167,0.01005139115483267
SiC_15deg,SiC,15.0,trough,101,200.0,1700.0,3000.0,5,7.730482816128502,0.22714785849254537,4,7.656851101432596,0.9997217969856534,0.002782030143465555
SiC_15deg,SiC,15.0,peak,101,240.0,1000.0,4000.0,10,6.690049490578698,1.502035109541422,9,6.539509083945099,0.9824693403674769,1.4462794196831599
SiC_15deg,SiC,15.0,trough,101,240.0,1000.0,4000.0,10,6.7499696820775315,1.3869245316707017,9,6.665648437690039,0.9810241995226889,1.5655035393781596
SiC_15deg,SiC,15.0,peak,101,240.0,1200.0,4000.0,9,6.751819912003387,1.5823346325651688,8,6.678788291534045,0.9805745257944068,1.1655284523355889
SiC_15deg,SiC,15.0,trough,101,240.0,1200.0,4000.0,9,6.669191979243587,1.4509580552664447,8,6.807403915613191,0.978570001373651,1.285799917580936
SiC_15deg,SiC,15.0,peak,101,240.0,1500.0,3500.0,6,6.872508315456235,1.5605565450929195,5,6.460771186183147,0.9787248363910325,0.37231536315693087
SiC_15deg,SiC,15.0,trough,101,240.0,1500.0,3500.0,6,6.8083678760632464,1.4256792313608808,5,6.901923561821632,0.9787736773402566,0.37146064654551003
SiC_15deg,SiC,15.0,peak,101,240.0,1700.0,3000.0,4,6.440110392309843,1.8950836287813988,3,5.562389770135764,0.9754137498072328,0.1229312509638356
SiC_15deg,SiC,15.0,trough,101,240.0,1700.0,3000.0,4,6.347300467495408,1.6900033415560567,3,6.224539166631834,0.9595381538412615,0.20230923079369267
SiC_15deg,SiC,15.0,peak,101,280.0,1000.0,4000.0,7,4.548779917921059,1.0563690303987159,6,4.233359295398785,0.9934591679075219,0.18314329858938772
SiC_15deg,SiC,15.0,trough,101,280.0,1000.0,4000.0,7,4.090525379866592,0.408699162851038,6,4.058275741949358,0.998297753032797,0.04766291508168313
SiC_15deg,SiC,15.0,peak,101,280.0,1200.0,4000.0,7,4.548779917921059,1.0563690303987159,6,4.233359295398785,0.9934591679075219,0.18314329858938772
SiC_15deg,SiC,15.0,trough,101,280.0,1200.0,4000.0,6,3.9189463056601674,0.2497278929537198,5,3.830287070948914,0.9989985540634104,0.017525303890317562
SiC_15deg,SiC,15.0,peak,101,280.0,1500.0,3500.0,5,4.639559525315202,1.2288424357615726,4,4.313623279233781,0.9904688292012661,0.09531170798733943
SiC_15deg,SiC,15.0,trough,101,280.0,1500.0,3500.0,4,3.8261399529027407,0.09313808293913081,3,3.799996711371718,0.9998059403706689,0.0009702981466554593
SiC_15deg,SiC,15.0,peak,101,280.0,1700.0,3000.0,4,5.309353367811155,1.1282435470405343,3,4.946460996235687,0.9876766918629012,0.06161654068549377
SiC_15deg,SiC,15.0,trough,101,280.0,1700.0,3000.0,3,3.8642193288976836,0.09306952837460725,2,3.843110546246121,0.9997702065634262,0.00045958687314765406
