scenario,dataset,angle_deg,thickness_um,weighted_rmse,affine_scale,affine_offset,effective_points,point_weight_sum
frequency_downweighted,SiC_10deg,10.0,7.34,0.0036356378596953008,0.8985474652137377,0.014000501724693193,865,640.0999999999999
frequency_downweighted,SiC_15deg,15.0,7.34,0.002876569138511918,1.0567080081552533,-0.0060108596981174045,865,415.2
frequency_downweighted,joint,,7.34,0.0033369878710329858,,,1730,1055.3
frequency_downweighted,SiC_10deg,10.0,7.345,0.00354813672882803,0.9026935211361201,0.013248133094772185,865,640.0999999999999
frequency_downweighted,SiC_15deg,15.0,7.345,0.0027948802881844577,1.0605561262451866,-0.0067193914857427706,865,415.2
frequency_downweighted,joint,,7.345,0.003251773539066624,,,1730,1055.3
frequency_downweighted,SiC_10deg,10.0,7.35,0.0034594013086667354,0.9068276346896367,0.012497954173519954,865,640.0999999999999
frequency_downweighted,SiC_15deg,15.0,7.35,0.0027139872916242865,1.064318904844833,-0.007412292732072501,865,415.2
frequency_downweighted,joint,,7.35,0.003166123662617247,,,1730,1055.3
frequency_downweighted,SiC_10deg,10.0,7.355,0.0033694859703440917,0.9109449113939528,0.01175085434794182,865,640.0999999999999
frequency_downweighted,SiC_15deg,15.0,7.355,0.002634163543066148,1.0679906827126868,-0.008088515862918172,865,415.2
frequency_downweighted,joint,,7.355,0.003080178785841294,,,1730,1055.3
frequency_downweighted,SiC_10deg,10.0,7.36,0.003278451930090007,0.9150403362250393,0.011007744380963969,865,640.0999999999999
frequency_downweighted,SiC_15deg,15.0,7.36,0.002555712491027564,1.0715657439759414,-0.008747003697815892,865,415.2
frequency_downweighted,joint,,7.36,0.002994095429475275,,,1730,1055.3
frequency_downweighted,SiC_10deg,10.0,7.365,0.0031863680148110484,0.9191087844807999,0.010269554426141525,865,640.0999999999999
frequency_downweighted,SiC_15deg,15.0,7.365,0.002478970221936508,1.075038330889958,-0.009386691837924788,865,415.2
frequency_downweighted,joint,,7.365,0.0029080475717128684,,,1730,1055.3
frequency_downweighted,SiC_10deg,10.0,7.37,0.0030933115633280752,0.9231450334752814,0.009537231894385712,865,640.0999999999999
frequency_downweighted,SiC_15deg,15.0,7.37,0.0024043078106641903,1.0784026586988695,-0.010006511436242732,865,415.2
frequency_downweighted,joint,,7.37,0.002822228119657038,,,1730,1055.3
frequency_downweighted,SiC_10deg,10.0,7.375,0.0029993694944756657,0.9271437749860987,0.008811739186507767,865,640.0999999999999
frequency_downweighted,SiC_15deg,15.0,7.375,0.002332133183703495,1.0816529325205972,-0.010605392335807595,865,415.2
frequency_downweighted,joint,,7.375,0.0027368502902374347,,,1730,1055.3
frequency_downweighted,SiC_10deg,10.0,7.38,0.0029046395808231705,0.9310996283717904,0.008094051306807737,865,640.0999999999999
frequency_downweighted,SiC_15deg,15.0,7.38,0.0022628921459035382,1.084783366147394,-0.011182266555665676,865,415.2
frequency_downweighted,joint,,7.38,0.0026521487867564295,,,1730,1055.3
frequency_downweighted,SiC_10deg,10.0,7.385,0.002809231976151912,0.93500715426903,0.007385153374160236,865,640.0999999999999
frequency_downweighted,SiC_15deg,15.0,7.385,0.0021970681144433683,1.0877882026219008,-0.011736072098693151,865,415.2
frequency_downweighted,joint,,7.385,0.0025683806207255997,,,1730,1055.3
frequency_downweighted,SiC_10deg,10.0,7.39,0.0027132710563937935,0.9388608687739869,0.006686038048061865,865,640.0999999999999
frequency_downweighted,SiC_15deg,15.0,7.39,0.00213517999648061,1.0906617364190396,-0.01226575704993213,865,415.2
frequency_downweighted,joint,,7.39,0.002485825393477131,,,1730,1055.3
frequency_downweighted,SiC_10deg,10.0,7.395,0.002616897647894239,0.9426552580078937,0.0059977028878620275,865,640.0999999999999
frequency_downweighted,SiC_15deg,15.0,7.395,0.0020777775630782896,1.093398337036488,-0.012770283929059795,865,415.2
frequency_downweighted,joint,,7.395,0.0024047848276387836,,,1730,1055.3
frequency_downweighted,SiC_10deg,10.0,7.4,0.0025202717339421663,0.9463847929640711,0.005321147663895992,865,640.0999999999999
frequency_downweighted,SiC_15deg,15.0,7.4,0.002025433648685729,1.0959924737713582,-0.013248634256021491,865,415.2
frequency_downweighted,joint,,7.4,0.002325581339742912,,,1730,1055.3
frequency_downweighted,SiC_10deg,10.0,7.405,0.00242357575065051,0.9500439445324249,0.004657371639448987,865,640.0999999999999
frequency_downweighted,SiC_15deg,15.0,7.405,0.001978732592504472,1.0984387414386227,-0.013699813284829443,865,415.2
frequency_downweighted,joint,,7.405,0.0022485554917078066,,,1730,1055.3
frequency_downweighted,SiC_10deg,10.0,7.41,0.0023270186061440305,0.9536271985978579,0.004007370842386976,865,640.0999999999999
frequency_downweighted,SiC_15deg,15.0,7.41,0.001938254590099761,1.100731886768235,-0.014122854857140016,865,415.2
frequency_downweighted,joint,,7.41,0.002174062271962678,,,1730,1055.3
frequency_downweighted,SiC_10deg,10.0,7.415,0.0022308405813216635,0.9571290711110697,0.003372135344903937,865,640.0999999999999
frequency_downweighted,SiC_15deg,15.0,7.415,0.0019045560811285565,1.1028668352031568,-0.014516826324548537,865,415.2
frequency_downweighted,joint,,7.415,0.00210246635173749,,,1730,1055.3
frequency_downweighted,SiC_10deg,10.0,7.42,0.002135319293052972,0.9605441230339816,0.0027526465691353197,865,640.0999999999999
frequency_downweighted,SiC_15deg,15.0,7.42,0.001878146958943405,1.1048387178100663,-0.014880833486651313,865,415.2
frequency_downweighted,joint,,7.42,0.0020341367353705194,,,1730,1055.3
frequency_downweighted,SiC_10deg,10.0,7.425,0.002040776915005808,0.9638669750673688,0.002149874635397675,865,640.0999999999999
frequency_downweighted,SiC_15deg,15.0,7.425,0.001859466171375132,1.1066428980086271,-0.015214025490876942,865,415.2
frequency_downweighted,joint,,7.425,0.001969441540462591,,,1730,1055.3
frequency_downweighted,SiC_10deg,10.0,7.43,0.001947588844934693,0.9670923220751937,0.0015647757685412766,865,640.0999999999999
frequency_downweighted,SiC_15deg,15.0,7.43,0.0018488580192573727,1.1082749978240896,-0.015515599639917471,865,415.2
frequency_downweighted,joint,,7.43,0.0019087439299141078,,,1730,1055.3
frequency_downweighted,SiC_10deg,10.0,7.435,0.0018561939578797312,0.9702149471285041,0.0009982897763622656,865,640.0999999999999
frequency_downweighted,SiC_15deg,15.0,7.435,0.0018465519138746414,1.1097309233718198,-0.01578480605332727,865,415.2
frequency_downweighted,joint,,7.435,0.0018524003667957614,,,1730,1055.3
frequency_downweighted,SiC_10deg,10.0,7.44,0.0017671064544771862,0.9732297351013581,0.0004513376122601831,865,640.0999999999999
frequency_downweighted,SiC_15deg,15.0,7.44,0.0018526483007702225,1.1110068892911047,-0.01602095213150015,865,415.2
frequency_downweighted,joint,,7.44,0.0018007622628547744,,,1730,1055.3
frequency_downweighted,SiC_10deg,10.0,7.445,0.001680929042061598,0.9761316857619877,-7.51809676468318e-05,865,640.0999999999999
frequency_downweighted,SiC_15deg,15.0,7.445,0.0018671127886486856,1.1120994418592032,-0.01622340677277126,865,415.2
frequency_downweighted,joint,,7.445,0.0017541816636696323,,,1730,1055.3
frequency_downweighted,SiC_10deg,10.0,7.45,0.0015983666848520292,0.9789159263139753,-0.00058038964485424,865,640.0999999999999
frequency_downweighted,SiC_15deg,15.0,7.45,0.0018897793342460304,1.113005480534923,-0.016391604297789658,865,415.2
frequency_downweighted,joint,,7.45,0.0017130208419906523,,,1730,1055.3
frequency_downweighted,SiC_10deg,10.0,7.455,0.0015202393152503133,0.9815777233544226,-0.0010634376703924364,865,640.0999999999999
frequency_downweighted,SiC_15deg,15.0,7.455,0.0019203619213840925,1.1137222777036315,-0.016525048039494478,865,415.2
frequency_downweighted,joint,,7.455,0.001677664602909505,,,1730,1055.3
frequency_downweighted,SiC_10deg,10.0,7.46,0.0014474906052501248,0.9841124942285926,-0.0015235018847656878,865,640.0999999999999
frequency_downweighted,SiC_15deg,15.0,7.46,0.001958472920269085,1.1142474964222788,-0.01662331356196134,865,415.2
frequency_downweighted,joint,,7.46,0.0016485328275526664,,,1730,1055.3
frequency_downweighted,SiC_10deg,10.0,7.465,0.0013811881485101252,0.9865158177730942,-0.0019597886246439933,865,640.0999999999999
frequency_downweighted,SiC_15deg,15.0,7.465,0.002003645539052831,1.1145792059929969,-0.016686051476921843,865,415.2
frequency_downweighted,joint,,7.465,0.00162608941692037,,,1730,1055.3
frequency_downweighted,SiC_10deg,10.0,7.47,0.0013225084833167519,0.9887834444519115,-0.002371535517279255,865,640.0999999999999
frequency_downweighted,SiC_15deg,15.0,7.47,0.0020553576140454025,1.1147158952267304,-0.01671298983282818,865,415.2
frequency_downweighted,joint,,7.47,0.0016108425675378604,,,1730,1055.3
frequency_downweighted,SiC_10deg,10.0,7.475,0.0012726991516472939,0.9909113059013311,-0.0027580131657687634,865,640.0999999999999
frequency_downweighted,SiC_15deg,15.0,7.475,0.0021130543510810263,1.1146564832933203,-0.01670393605778317,865,415.2
frequency_downweighted,joint,,7.475,0.0016033307055228607,,,1730,1055.3
frequency_downweighted,SiC_10deg,10.0,7.48,0.0012330110728482402,0.9928955239105762,-0.0031185267302575315,865,640.0999999999999
frequency_downweighted,SiC_15deg,15.0,7.48,0.0021761683177375112,1.1144003280908068,-0.016658778444352457,865,415.2
frequency_downweighted,joint,,7.48,0.0016040893331325434,,,1730,1055.3
frequency_downweighted,SiC_10deg,10.0,7.485,0.0012045999623232833,0.9947324188746249,-0.0034524174119421047,865,640.0999999999999
frequency_downweighted,SiC_15deg,15.0,7.485,0.002244135757337602,1.113947232103619,-0.016577487171072908,865,415.2
frequency_downweighted,joint,,7.485,0.0016135976521649824,,,1730,1055.3
frequency_downweighted,SiC_10deg,10.0,7.49,0.0011884062789437537,0.9964185177638497,-0.003759063848232741,865,640.0999999999999
frequency_downweighted,SiC_15deg,15.0,7.49,0.0023164089703171828,1.1132974457559677,-0.01646011486221552,865,415.2
frequency_downweighted,joint,,7.49,0.0016322106165332995,,,1730,1055.3
frequency_downweighted,SiC_10deg,10.0,7.495,0.0011850365658973188,0.9979505616616077,-0.004037883428624461,865,640.0999999999999
frequency_downweighted,SiC_15deg,15.0,7.495,0.002392464994566486,1.1124516683023582,-0.0163067966939128,865,415.2
frequency_downweighted,joint,,7.495,0.0016600903738983024,,,1730,1055.3
frequency_downweighted,SiC_10deg,10.0,7.5,0.0011946777064649262,0.9993255129255108,-0.004288333541673489,865,640.0999999999999
frequency_downweighted,SiC_15deg,15.0,7.5,0.002471811099688527,1.111411046330836,-0.01611775006095384,865,415.2
