dataset,angle_deg,contrast_delta_n,thickness_um,affine_rmse,affine_scale,affine_offset
SiC_10deg,10.0,0.05,3.36,0.00598017239403856,1.0195102118159043,-0.08806608045282859
SiC_10deg,10.0,0.05,3.38,0.005982899931428381,1.0206730861269675,-0.0883120004381173
SiC_10deg,10.0,0.05,3.4,0.005994942937404655,1.0206800113917391,-0.08825284510518033
SiC_10deg,10.0,0.05,3.42,0.00601093454446317,1.0201293215009275,-0.08804875370337434
SiC_10deg,10.0,0.05,3.44,0.006025177710368752,1.0197035918491535,-0.08788156045469686
SiC_10deg,10.0,0.05,3.46,0.006033285089667588,1.0197969880678646,-0.0878577408137233
SiC_10deg,10.0,0.05,3.48,0.00603323001636125,1.0202768807312699,-0.0879463472222315
SiC_10deg,10.0,0.05,3.5,0.006025535321424948,1.020485925782856,-0.08797934990281882
SiC_10deg,10.0,0.05,3.52,0.006012611851983179,1.0194984460071463,-0.08771787186085962
SiC_10deg,10.0,0.05,3.54,0.0059975142275096645,1.0165350881730961,-0.0869594596311254
SiC_10deg,10.0,0.05,3.56,0.005982616716475453,1.0113504011384122,-0.08563849539116407
SiC_10deg,10.0,0.05,3.58,0.005968790130650868,1.0044042461773126,-0.08387087041354409
SiC_10deg,10.0,0.05,3.6,0.005955424095329859,0.9967389613031803,-0.08192265664862887
SiC_10deg,10.0,0.05,3.62,0.0059411886501045345,0.9896407573266451,-0.08012293649040021
SiC_10deg,10.0,0.05,3.64,0.0059250921325770065,0.9842516824306419,-0.07876370704597424
SiC_10deg,10.0,0.05,3.66,0.005907364891264796,0.9812757272568451,-0.07802399033208803
